person_id,segment_id,text,tags
1,1,Durch meine Kollegin,{general}
1,2,"Ich fand das interessant, weil ich das gut finde, dass es um die Kommunikation geht, weil ich da eine große Sache finde, ja, wie soll ich das sagen? Ich finde es gut, wenn es verbessert werden kann, weil oft hat man ja gar nicht so die Chance, dass ja man die Kommunikation vielleicht ausführen kann oder dass man hört ja immer wieder, dass gewisse Sachen einfach gemacht werden, die man nicht gut findet während der Geburt und wenn es dafür die Sache Besserungsmöglichkeiten gibt. ",{general}
1,3,Nein,{general}
1,4,"Ich glaub bis 6 oder 7. Und ich muss aber ehrlich sagen ich fand es nachher schwierig, ich fand da tolle Sachen drinne, die auch gesagt werden, ich find aber, ich habe immer wieder gedacht an der Umsetzung wird das hapern also. deshalb ist das dann nachher so ein bisschen wo ich gedacht hab OK total nett, aber ja dann.",{general}
1,5,"Ich hab die nachher ein Stück durchgemacht, weil das erst durch die Arbeit  ein bisschen zurückgestanden  hatte und dann ist die Kleine ja früher gekommen als sie wollte.",{general}
1,6,"Und dann habe ich mich danach dann nochmal ran gesetzt, weil ich das toll und interessant fand und mich danach immer wieder rein versetzen die Situation.",{general}
1,7,"Mir hat das total gefallen, dass darauf eingegangen wird, dass man sich zum Beispiel auch das Personal einsetzen soll um zu gucken wie geht denn das denn? Wie fühlen Sie sich, was hatten Sie vielleicht so im Hintergrund so zu handeln, wie sie handeln auch einfach diese verschiedenen Ebenen? Was hätte man verbessern können, wie hätte ich das anders rüberbringen können, fand ich gut, ich finde aber schwierig weil viele Sachen, weiß man schon, es aber in dieser Situation nicht rüberbringen.",{general}
1,8,"Finde ich ja. Ich fand das auch bei Hebammen hilfreich,  mich da reinzuversetzen, ich muss aber vielleicht auch ehrlich sagen, ich hatte bis jetzt ziemlich Glück bei meinen Kindern, was meine Hebammen angehen.",{general}
1,9,"Ich sag mal so, ich konnte mich vielleicht zunächst in manchen Dingen ziemlich gut deutlich äußern, was ich nicht möchte, ne? ",{general}
1,10,"Aber ich kann mir auch vorstellen, ich hatte eine Situation bei meinem Sohn, um das mal so zu sagen.  Da war eine Hebamme, die ist mir ja unterbewusst, glaub ich einfach ziemlich blöd gekommen. Und ähm, da wusste ich gar nicht, wie ich damit umgehen und meine erste Reaktion war okay, solange wie diese Hebamme hier Dienst hat, werde ich mein Kind nicht bekommen.",{general}
1,11,"Ja. Es hat wirklich geklappt soll ich bin dann wirklich erst runter, da hat Sie noch halbe Stunde Dienst. Und es ging einfach darum ich weiß, dass das vielleicht eine Frage war, aber man ist jetzt in der Entbindung drinne, man hat das noch nie gemacht und meine Frage war o Gott wie schlimm wird das denn noch? Und ihre Antwort war na ja, der Kopf ist noch drin der Schlimmste Teil ist noch da. Was denken Sie denn? ",{general}
1,12,aber ich hatte danach eine ganz Tolle.,{general}
1,13,"Ja, das muss ich mal eben überlegen, das ist noch gar nicht so lange her ehrlich gesagt. Aha, mein Gedächtnis momentan ziemlich kurz. Das war ja dieses Vier Seiten – wie kann ich das rüberbringen, was kann beim anderen  dann ankommen, ne. Genau das fand ich auch gut einfach noch im Bezug, für mich ist das immer so ein bisschen reinversetzen. Wie kam das rüber, was ich gesagt habe, wie kann der andere das verstanden haben? Finde ich ein wichtiges Thema, um sich damit vorher zu befassen. Finde ich aber auch im Nachhinein schwierig, das in so einer Situation umzusetzen, also. Ja, man hat ja manchmal Extremsituationen und dann ist es einfach so in dem Moment, überlege ich vielleicht nicht unbedingt, was ich gerade gesagt habe und wie  ist das rübergekommen, dass der Andere sich aber vielleicht angefeindet fühlt, ist aber auch ne verständliche Sache also ja.",{general}
1,14,"Ja, also vielleicht nicht ganz so extrem also ich finde, ich finde es gut, dass früher zu wissen, dass man das vielleicht mit reinnehmen kann, aber ich glaube einfach, also in meiner Situation, sie ist bevor die PDA, gewirkt hat  zur Welt gekommen und da war es mir ziemlich egal ehrlich gesagt will ich das jetzt ne also da hatte ich keinen Kopf mehr daran zu denken, was denn gerade die Hebamme oder was hat sie für eine Verantwortung, oder so.  War mir einfach so ziemlich egal in dem Moment, was sie gerade denkt,  ne. Und ich glaube, dass das ja, dass es schwierig ist, dass in dieser Situation umzusetzen. Das kann man so sagen.",{general}
1,15,"Den fand ich sehr gut. Den fand ich gut, ich fand es auch übersichtlich, ich finde auch schön, dass man die Kapitel nach und nach machen kann, das man auch wieder zurückgehen kann, und ich finde auch gut, dass es immer noch mal. So ne Abfrage gibt, also ich nenne das mal reminder, ne bekommt. Mensch, ne wie war das, oder wie antworten Sie jetzt da drauf, dass das auch immer wieder nochmal abgefragt wird, um zu sehen, hat es sich bei mir vielleicht verändert durch diese ja, durch diese Kapitel ne, da hat man ja dann immer wieder diese Abfrage gehabt. Das fand ich gut und ich fand es auch wie gesagt übersichtlich, also man kann damit gut arbeiten und unverständlich.",{general}
